theta	torque1_before	torque2_before	torque1_after	torque2_after
0.0	45.25376804088688	-0.007515631993811667	130.37746473561964	-260.407114978551
0.00025000000000000006	44.78699776107169	-0.00810108911343832	512.8620217988937	-1021.8940918530284
0.0005000000000000001	44.298289998836964	0.0024716801427757673	231.34497677859073	-457.22844246913064
0.00075	43.83131140444864	-0.0003964101464077885	200.12127814230038	-393.39911103417853
0.0010000000000000002	43.36687475386836	0.0003552998348652636	182.2354154623309	-356.41226871876484
0.00125	42.91189885243408	0.00015322548981089312	170.19650977043008	-331.231208531047
0.0015	42.463821939627806	0.0002039115448155826	161.37676231226777	-312.5722214836387
0.00175	42.02327092194406	0.00018775823613736975	154.57281621522574	-298.0109849565522
0.0020000000000000005	41.589853568450394	0.00018933524876274532	149.13421421569734	-286.2348467808179
0.00225	41.163499691299066	0.0001862549435998062	144.67355952787864	-276.4605550786941
0.0025	40.74404567062757	0.00018444557446173349	140.94257853949904	-268.1852372167863
0.0027500000000000003	40.33136026184245	0.00018233287343605298	137.77350227409747	-261.0684444022281
0.003	39.92530689160674	0.00018033785045190598	135.04811596581115	-254.86983641148194
0.0032500000000000003	39.52575486559512	0.0001783436204334521	132.68029731404124	-249.4139843238465
0.0035	39.132575630996655	0.00017638518087892407	130.60556102709018	-244.56927848932702
0.00375	38.745644097092054	0.0001744489392478954	128.77450519173755	-240.2346944601145
0.004000000000000001	38.36483796752208	0.0001725400080943018	127.1485413211076	-236.33116273918387
0.0042499999999999994	37.990037711346645	0.00017065573464947192	125.69702040708347	-232.7957544819792
0.0045	37.62112684524067	0.00016879737216868307	124.39524422658667	-229.5776541942911
0.00475	37.25799133458011	0.0001669620724271681	123.2230554630575	-226.63530213011774
0.005	36.90051995732449	0.00016515181212639618	122.16381714834287	-223.93432349517758
0.00525	36.5486040111993	0.0001633654164265863	121.20365985066809	-221.44599964063377
0.0055000000000000005	36.20213712392062	0.00016160113483465466	120.33091732832023	-219.1461208619319
0.00575	35.861015738505074	0.00015986180557092666	119.53569707700971	-217.0141122759914
0.006	35.525138332888346	0.00015814251744927788	118.80954907037768	-215.03235937092035
0.00625	35.19440568837315	0.00015644781771584348	118.14520729112027	-213.1856808673573
0.006500000000000001	34.86872105284277	0.0001547735382416704	117.53638578924618	-211.46091236384513
0.00675	34.547989782406475	0.00015312150034674232	116.97761614690333	-209.84657438442812
0.007	34.232119160920334	0.00015148982990353943	116.46411660918105	-208.33260480481985
0.0072499999999999995	33.92101879804186	0.00014987990982717747	115.99168613593213	-206.9101417141893
0.0075	33.61460022449269	0.0001482900621567751	115.55661759257595	-205.57134567760312
0.00775	33.312776905274504	0.0001467207455903008	115.15562639928007	-204.3092533198119
0.008000000000000002	33.01546430976421	0.00014517036095185176	114.78579137304007	-203.11765575600174
0.00825	32.72257958269746	0.00014364081849294053	114.44450519056063	-201.99099691488033
0.008499999999999999	32.43404193231366	0.00014212960968507105	114.1294331173005	-200.92428833845133
0.00875	32.14977218199151	0.00014063825170751443	113.83847795660502	-199.91303718807765
0.009	31.869692996945545	0.00013916450848228124	113.56975047439565	-198.95318508106902
0.009250000000000001	31.593728507564194	0.00013770963127512914	113.32154405435134	-198.0410559547825
0.0095	31.321804665414675	0.0001362737426404692	113.0923130280151	-197.17331104846136
0.00975	31.053849183794554	0.00013485421004588716	112.88065435024234	-196.34691093312517
0.01	30.78979080840358	0.00013345306390988299	112.68529120955779	-195.55908203557055
0.01025	30.529560325713987	0.00013206917054731093	112.5050593429199	-194.80728757054612
0.0105	30.273089865842877	0.0001307026616359508	112.33889487225001	-194.08920269002758
0.010750000000000001	30.02031276479252	0.00012935192677332452	112.18582376820359	-193.40269265572073
0.011000000000000001	29.771164031434168	0.00012801878153823054	112.04495264588161	-192.7457933382782
0.01125	29.52558009997989	0.00012670120133861928	111.91546061473396	-192.11669437408167
0.0115	29.283498376504795	0.00012540052398435364	111.79659202513025	-191.51372434043765
0.01175	29.04485796186131	0.000124114521042884	111.68765045570075	-190.93533762233153
0.012	28.80959906858307	0.00012284488946079364	111.58799289576947	-190.38010265742759
0.01225	28.577663159270955	0.0001215908883409611	111.49702468632782	-189.84669125459823
0.0125	28.348992930602435	0.0001203508314517876	111.41419546526353	-189.33386999911704
0.012750000000000001	28.123532181761448	0.00011912703010352743	111.33899486505862	-188.8404913756838
0.013000000000000001	27.9012260885618	0.00011791709417252605	111.27094918149598	-188.36548649169276
0.01325	27.682020698473337	0.00011672135249796156	111.20961825819161	-187.9078588750844
0.0135	27.465863291795557	0.0001155412644777698	111.15459235280895	-187.46667763668836
0.01375	27.25270230724611	0.00011437403796321632	111.1054899334537	-187.04107277841527
0.014	27.042487020260992	0.00011322044699113576	111.06195536388773	-186.63023053596007
0.01425	26.8351678316659	0.00011208151337882555	111.02365645831398	-186.23338804707709
0.014499999999999999	26.630696333980026	0.00011095597184862527	110.99028290023037	-185.8498298449661
0.014750000000000001	26.429024727657705	0.00010984244448764002	110.96154463628484	-185.478884898184
0.015	26.23010648526588	0.00010874366253688095	110.93717006923197	-185.11992225535107
0.015250000000000001	26.03389584697021	0.00010765632006837222	110.91690471500624	-184.7723485833451
0.0155	25.84034806976632	0.00010658321295409223	110.90051003099995	-184.43560540630511
0.01575	25.649419180381443	0.00010552100911809248	110.88776215198367	-184.10916663493066
0.016000000000000004	25.46106612251016	0.00010447264796198397	110.87845088027291	-183.79253624394622
0.01625	25.275246825852946	0.00010343498158249531	110.87237872603754	-183.48524613096248
0.0165	25.091919790660967	0.00010241127304766451	110.86935975969162	-183.1868540879616
0.01675	24.91104452680203	0.00010139743258719136	110.8692191824849	-182.89694235668946
0.016999999999999998	24.732581278329505	0.0001003963882340031	110.87179251214445	-182.615116122281
0.01725	24.5564911244264	9.940681437115018e-5	110.87692445384003	-182.34100110413573
0.0175	24.382735706440158	9.842840458418323e-5	110.8844687107565	-182.07424326177522
0.01775	24.211277657213074	9.746094792717486e-5	110.89428744705167	-181.81450718793508
0.018	24.04208019006991	9.650551871231983e-5	110.9062502540115	-181.56147440145884
0.018250000000000002	23.875107190876236	9.555944131989236e-5	110.92023419784786	-181.31484318780323
0.018500000000000003	23.710323385015883	9.462587104280828e-5	110.93612304577832	-181.07432682107313
