time	theta
0.0	0.0
0.0009849804596630117	0.00025
0.001429960536612668	0.0005
0.0018131856444702744	0.00075
0.002160282049335839	0.001
0.0024824927384630795	0.00125
0.0027860476079021278	0.0015
0.0030748657166573138	0.00175
0.003351617456701305	0.002
0.003618227188449906	0.00225
0.003876140152451288	0.0025
0.0041264769514704775	0.00275
0.004370128810490113	0.003
0.004607819357569895	0.00325
0.004840146344739432	0.0035
0.00506761078146264	0.00375
0.005290637857679639	0.004
0.005509592334565293	0.00425
0.005724790102184041	0.0045
0.005936507016551967	0.00475
0.006144985764555368	0.005
0.006350441272414596	0.00525
0.006553065020585328	0.0055
0.006753028525332643	0.00575
0.006950486176736495	0.006
0.0071455775736562165	0.00625
0.007338429461139509	0.0065
0.007529157350473064	0.00675
0.007717866883559293	0.007
0.007904654989546902	0.00725
0.008089610871337182	0.0075
0.008272816851758073	0.00775
0.008454349103200198	0.008
0.008634278279861933	0.00825
0.008812670068121472	0.0085
0.008989585667707621	0.00875
0.009165082214076201	0.009
0.009339213150589847	0.00925
0.009512028557646575	0.0095
0.00968357544471901	0.00975
0.009853898010325766	0.01
0.010023037874156072	0.01025
0.01019103428492472	0.0105
0.010357924307009554	0.01075
0.010523742988476055	0.011
0.010688523512716788	0.01125
0.010852297335628518	0.0115
0.011015094309988085	0.01175
0.01117694279846582	0.012
0.011337869776525926	0.01225
0.011497900926300467	0.0125
0.01165706072239932	0.01275
0.011815372510484316	0.013
0.01197285857934487	0.01325
0.012129540227128402	0.0135
0.012285437822288551	0.01375
0.012440570859766742	0.014
0.012594958012859377	0.01425
0.012748617181161794	0.0145
0.01290156553495189	0.01475
0.013053819556338905	0.015
0.013205395077452943	0.01525
0.013356307315937002	0.0155
0.013506570907971699	0.01575
0.01365619993904028	0.016
0.013805207972620692	0.01625
0.013953608076973238	0.0165
0.014101412850175979	0.01675
0.014248634443548885	0.017
0.01439528458359315	0.01725
0.01454137459255311	0.0175
0.014686915407712876	0.01775
0.014831917599519772	0.018
0.0149763913886174	0.01825
0.015120346661873738	0.0185
0.015263792987471289	0.01875
0.015406739629127216	0.019
0.015549195559506727	0.01925
0.01569116947288096	0.0195
0.015832669797083376	0.01975
0.015973704704812644	0.02
0.016114282124323757	0.02025
0.0162544097495465	0.0205
0.016394095049671462	0.02075
0.016533345278235804	0.021
0.016672167481739903	0.02125
0.016810568507826983	0.0215
0.01694855501304635	0.02175
0.0170861334702349	0.022
0.017223310175533618	0.02225
0.01736009125506075	0.0225
0.017496482671265034	0.02275
0.017632490228975294	0.023
0.01776811958116751	0.02325
0.017903376234459322	0.0235
0.018038265554352402	0.02375
0.01817279277023652	0.024
0.018306962980166184	0.02425
0.018440781155423348	0.0245
0.018574252144879438	0.02475
0.018707380679163912	0.025
0.018840171374654286	0.02525
0.018972628737292406	0.0255
0.019104757166238637	0.02575
0.019236560957373857	0.026
0.01936804430665242	0.02625
0.019499211313317666	0.0265
0.0196300659829856	0.02675
0.01976061223060243	0.027
0.01989085388328469	0.02725
0.02002079468304439	0.0275
0.02015043828940657	0.02775
0.020279788281924987	0.028
0.02040884816259972	0.02825
0.020537621358202165	0.0285
0.020666111222509546	0.02875
0.020794321038456517	0.029
0.02092225402020617	0.02925
0.021049913315142374	0.0295
0.02117730200578948	0.02975
0.021304423111662082	0.03
0.021431279591046685	0.03025
0.0215578743427204	0.0305
0.021684210207606698	0.03075
0.021810289970373826	0.031
0.02193611636097666	0.03125
0.022061692056143927	0.0315
0.022187019680815292	0.03175
0.02231210180952737	0.032
0.022436940967754636	0.03225
0.02256153963320346	0.0325
0.02268590023706223	0.03275
0.022810025165211408	0.033
0.022933916759393026	0.03325
0.023057577318340367	0.0335
0.02318100909887318	0.03375
0.023304214316955642	0.034
0.023427195148720305	0.03425
0.023549953731461275	0.0345
0.023672629451103728	0.03475
0.023795525830024977	0.035
0.023918642278079428	0.03525
0.024041978205676058	0.0355
0.024165533023784134	0.03575
0.02428930614393737	0.036
0.024413296978239664	0.03625
0.024537504939369317	0.0365
0.024661929440584495	0.03675
0.024786569895726702	0.037
0.02491142571922603	0.03725
0.025036496326107	0.0375
0.025161781131991284	0.03775
0.02528727955310265	0.038
0.02541299100627145	0.03825
0.025538914908940596	0.0385
0.025665050679167765	0.03875
0.025791397735630436	0.039
0.025917955497630048	0.03925
0.026044723385097196	0.0395
0.02617170081859497	0.03975
0.026298887219322532	0.04
0.02642628200912065	0.04025
0.026553884610473928	0.0405
0.026681694446517034	0.04075
0.026809710941036888	0.041
0.026937933518476218	0.04125
0.027066361603939583	0.0415
0.027194994623195915	0.04175
0.0273238320026813	0.042
0.02745287316950378	0.04225
0.027582117551447398	0.0425
0.027711564576975548	0.04275
0.027841213675234226	0.043
0.027971064276054582	0.04325
0.028101115809959006	0.0435
0.028231367708162806	0.04375
0.028361819402577336	0.044
0.028492470325814274	0.04425
0.028623319911188626	0.0445
0.028754367592722756	0.04475
0.028885612805147752	0.045
0.029017054983907848	0.04525
0.02914869356516445	0.0455
0.02928052798579815	0.04575
0.029412557683410886	0.046
0.029544782096330678	0.04625
0.029677200663614376	0.0465
0.029809812825050037	0.04675
0.02994261802115971	0.047
0.030075615693202346	0.04725
0.030208805283177997	0.0475
0.03034218623382883	0.04775
0.030475757988642205	0.048
0.03060951999185396	0.04825
0.030743471688450725	0.0485
0.0308776125241734	0.04875
0.031011941945518734	0.049
0.0311464593997412	0.04925
0.03128116433485751	0.0495
0.0314160561996478	0.04975
0.031551134443658056	0.05
0.03168639851720284	0.05025
0.03182184787136763	0.0505
0.031957481958011784	0.05075
0.03209330022976886	0.051
0.03222930214005031	0.05125
0.032365487143048544	0.0515
0.03250185469373739	0.05175
0.032638404247874855	0.052
0.03277513526200524	0.05225
0.03291204719346136	0.0525
0.033049139500366774	0.05275
0.03318641164163698	0.053
0.0333238630769816	0.05325
0.03346149326690761	0.0535
0.03359930167271944	0.05375
0.033737287756521364	0.054
0.03387545098121994	0.05425
0.03401379081052476	0.0545
0.034152306708952015	0.05475
0.034290998141824104	0.055
0.03442986457527152	0.05525
0.03456890547623653	0.0555
0.034708120312473056	0.05575
0.03484750855254806	0.056
0.03498706966584431	0.05625
0.03512680312256063	0.0565
0.03526670839371454	0.05675
0.03540678495114339	0.057
0.03554703226750486	0.05725
0.03568744981627894	0.0575
0.03582803707177052	0.05775
0.03596879350910836	0.058
0.03610971860424788	0.05825
0.03625081183397286	0.0585
0.036392072675894685	0.05875
0.036533500608456386	0.059
0.03667509511093092	0.05925
0.03681685566342346	0.0595
0.03695878174687447	0.05975
0.037100872843057145	0.06
0.037243128434580414	0.06025
0.037385548004890794	0.0605
0.037528131038271614	0.06075
0.03767087701984568	0.061
0.037813785435574024	0.06125
0.037956855772258394	0.0615
0.038100087517542944	0.06175
0.038243480159912815	0.062
0.03838703318869604	0.06225
0.038530746094064906	0.0625
0.03867461836703619	0.06275
0.038818649499472085	0.063
0.038962838984079824	0.06325
0.039107186314413546	0.0635
0.03925169098487557	0.06375
0.03939635249071489	0.064
0.03954117032802988	0.06425
0.039686143993767235	0.0645
0.0398312729857235	0.06475
0.03997655680254668	0.065
0.04012199494373313	0.06525
0.040267586909631524	0.0655
0.040413332201442644	0.06575
0.04055923032121791	0.066
0.040705280771862085	0.06625
0.0408514830571326	0.0665
0.040997836681639185	0.06675
0.041144341150846184	0.067
0.04129099597107076	0.06725
0.04143780064948395	0.0675
0.04158475469411243	0.06775
0.04173185761383565	0.068
0.04187910891838803	0.06825
0.0420265081183594	0.0685
0.04217405472519472	0.06875
0.042321748251194065	0.069
0.0424695882095117	0.06925
0.04261757411415836	0.0695
0.042765705479999916	0.06975
0.04291398182275742	0.07
0.04306240265900764	0.07025
0.04321096750618275	0.0705
0.04335967588257054	0.07075
0.04350852730731401	0.071
0.04365752130041159	0.07125
0.04380665738271692	0.0715
0.04395593507593916	0.07175
0.04410535390264217	0.072
0.04425491338624465	0.07225
0.04440461305101995	0.0725
0.0445544524220965	0.07275
0.044704431025457354	0.073
0.044854548387938335	0.07325
0.045004804037229854	0.0735
0.045155197501876285	0.07375
0.045305728311275426	0.074
0.04545639599567748	0.07425
0.04560720008618524	0.0745
0.04575814011475435	0.07475
0.04590921561419283	0.075
0.046060426118159366	0.07525
0.04621177116116424	0.0755
0.04636325027856878	0.07575
0.04651486300658493	0.076
0.04666660888227408	0.07625
0.04681848744354679	0.0765
0.046970498229163334	0.07675
0.047122640778732745	0.077
0.047274914632710933	0.07725
0.04742731933240127	0.0775
0.04757985441995518	0.07775
0.04773251943836954	0.078
0.0478853139314875	0.07825
0.04803823744399658	0.0785
0.04819128952142883	0.07875
0.048344469710161306	0.079
0.048497777557413344	0.07925
0.04865121261124626	0.0795
0.048804774420564564	0.07975
0.04895846253511342	0.08
0.049112276505477906	0.08025
0.04926621588308372	0.0805
0.04942028022019485	0.08075
0.049574469069914286	0.081
0.04972878198618164	0.08125
0.04988321852377306	0.0815
0.050037778238301835	0.08175
0.050192460686215426	0.082
0.05034726542479547	0.08225
0.05050219201215665	0.0825
0.05065724000724725	0.08275
0.050812408969847074	0.083
0.05096769846056547	0.08325
0.05112310804084243	0.0835
0.05127863727294761	0.08375
0.051434285719977824	0.084
0.051590052945857084	0.08425
0.05174593851533547	0.0845
0.051901941993988565	0.08475
0.0520580629482166	0.085
0.05221430094524202	0.08525
0.052370655553109886	0.0855
0.052527126340687125	0.08575
0.05268371287765959	0.086
0.0528404147345334	0.08625
0.052997231482632884	0.0865
0.05315416269409784	0.08675
0.05331120794188613	0.087
0.05346836679976919	0.08725
0.05362563884233229	0.0875
0.053783023644974295	0.08775
0.053940520783904426	0.088
0.054098129836143455	0.08825
0.05425585037952101	0.0885
0.054413681992674656	0.08875
0.054571624255049106	0.089
0.05472967674689546	0.08925
0.05488783904926859	0.0895
0.055046110744027404	0.08975
0.05520449141383302	0.09
0.055362980642147744	0.09025
0.055521578013233666	0.0905
0.05568028311215028	0.09075
0.055839095524756806	0.091
0.055998014837706916	0.09125
0.05615704063844885	0.0915
0.05631617251522586	0.09175
0.0564754100570727	0.092
0.05663475285381576	0.09225
0.05679420049607034	0.0925
0.056953752575239845	0.09275
0.05711340868351642	0.093
0.05727316841387716	0.09325
0.05743303136008276	0.0935
0.057592997116678514	0.09375
0.05775306527899088	0.094
0.05791323544312675	0.09425
0.05807350720597221	0.0945
0.058233880165190766	0.09475
0.058394353919223006	0.095
0.05855492806728326	0.09525
0.058715602209360354	0.0955
0.058876375946215594	0.09575
0.05903724887937985	0.096
0.05919822061115436	0.09625
0.0593592907446078	0.0965
0.059520458883575	0.09675
0.05968172463265716	0.097
0.059843087597217945	0.09725
0.0600045473833826	0.0975
0.06016610359803878	0.09775
0.06032775584883246	0.098
0.0604895037441674	0.09825
0.060651346893203714	0.0985
0.06081328490585601	0.09875
0.06097531739279299	0.099
0.06113744396543451	0.09925
0.06129966423595078	0.0995
0.061461977817260975	0.09975
0.0616243843230318	0.1
0.06178688336767592	0.10025
0.06194947456634926	0.1005
0.06211215753495121	0.10075
0.062274931890122814	0.101
0.06243779724924372	0.10125
0.0626007532304319	0.1015
0.0627637994525425	0.10175
0.06292693553516512	0.102
0.06309016109862353	0.10225
0.06325347576397257	0.1025
0.063416879152997	0.10275
0.06358037088821136	0.103
0.06374395059285709	0.10325
0.06390761789090083	0.1035
0.0640713724070329	0.10375
0.06423521376666674	0.104
0.06439914159593642	0.10425
0.06456315552169443	0.1045
0.06472725517151141	0.10475
0.06489144017367374	0.105
0.0650557101571824	0.10525
0.06522006475175116	0.1055
0.06538450358780372	0.10575
0.0655490262964744	0.106
0.06571363250960495	0.10625
0.06587832185974336	0.1065
0.06604309398014177	0.10675
0.06620794850475548	0.107
0.06637288506824163	0.10725
0.06653790330595553	0.1075
0.06670300285395112	0.10775
0.06686818334897904	0.108
0.06703344442848422	0.10825
0.06719878573060427	0.1085
0.06736420689416772	0.10875
0.06752970755869366	0.109
0.06769528736438886	0.10925
0.06786094595214548	0.1095
0.06802668296354082	0.10975
0.06819249804083542	0.11
0.06835839082697076	0.11025
0.06852436096556708	0.1105
0.06869040810092307	0.11075
0.06885653187801373	0.111
0.06902273194248829	0.11125
0.06918900794066823	0.1115
0.06935535951954651	0.11175
0.06952178632678531	0.112
0.06968828801071449	0.11225
0.06985486422032963	0.1125
0.07002151460529005	0.11275
0.0701882388159185	0.113
0.07035503650319809	0.11325
0.07052190731877025	0.1135
0.07068885091493447	0.11375
0.07085586694464592	0.114
0.07102295506151331	0.11425
0.07119011491979747	0.1145
0.07135734617440939	0.11475
0.07152464848090904	0.115
0.07169202149550417	0.11525
0.07185946487504649	0.1155
0.07202697827703114	0.11575
0.0721945613595959	0.116
0.07236221378151846	0.11625
0.07252993520221421	0.1165
0.07269772528173526	0.11675
0.0728655836807689	0.117
0.07303351006063476	0.11725
0.07320150408328505	0.1175
0.07336956541130023	0.11775
0.07353769370788879	0.118
0.07370588863688621	0.11825
0.07387414986275152	0.1185
0.07404247705056653	0.11875
0.07421086986603369	0.119
0.0743793279754747	0.11925
0.07454785104582944	0.1195
0.07471643874465213	0.11975
0.07488509074011068	0.12
0.07505380670098674	0.12025
0.07522258629667046	0.1205
0.0753914291971618	0.12075
0.07556033507306739	0.121
0.07572930359559778	0.12125
0.07589833443656885	0.1215
0.07606742726839653	0.12175
0.07623658176409649	0.122
0.07640579759728364	0.12225
0.07657507444216821	0.1225
0.07674441197355505	0.12275
0.07691380986684226	0.123
0.07708326779801902	0.12325
0.0772527854436633	0.1235
0.07742236248094062	0.12375
0.07759199858760257	0.124
0.07776169344198484	0.12425
0.07793144672300487	0.1245
0.07810125811016083	0.12475
