theta	vel_limit	forward	backward	final
0.0	2.9019046877079293	0.0	1000.0	0.0
0.00025	2.8927367479154507	0.2538121417002848	2.841058242706249	0.2538121417002848
0.0005	2.8828219876183088	0.5618229061259393	2.8336363465387704	0.5618229061259393
0.00075	2.872695291644613	0.6523580915603567	2.826122116189518	0.6523580915603567
0.001	2.862738909202894	0.7202609894413293	2.8186475625037577	0.7202609894413293
0.00125	2.8528494769865747	0.7758898398968866	2.811177024266722	0.7758898398968866
0.0015	2.843053108172053	0.8235743358753742	2.8037196943528087	0.8235743358753742
0.00175	2.8333414863644886	0.8655966936336046	2.7962727898243567	0.8655966936336046
0.002	2.8237154791618457	0.9033366870981945	2.7888367267118728	0.9033366870981945
0.00225	2.814173532060873	0.937700204566189	2.781411067907196	0.937700204566189
0.0025	2.804714756464211	0.9693192467776103	2.7739956051099712	0.9693192467776103
0.00275	2.795338107564043	0.9986546164187224	2.7665900698806403	0.9986546164187224
0.003	2.786042602638586	1.0260541454758731	2.7591942107098673	1.0260541454758731
0.00325	2.776827262572377	1.0517877259800636	2.7518077723835535	1.0517877259800636
0.0035	2.767691127018994	1.0760695649083838	2.7444305014284778	1.0760695649083838
0.00375	2.7586332499661426	1.0990729082815456	2.737062144591304	1.0990729082815456
0.004	2.749652700577146	1.1209401308599765	2.7297024491959734	1.1209401308599765
0.00425	2.74074856250736	1.1417898531052166	2.7223511629530472	1.1417898531052166
0.0045	2.7319199337906577	1.1617220883206785	2.7150080339713027	1.1617220883206785
0.00475	2.7231659265311046	1.1808220460153946	2.7076728106969896	1.1808220460153946
0.005	2.714485666588807	1.1991629957213719	2.700345241848013	1.1991629957213719
0.00525	2.7058782933120273	1.2168084594319688	2.6930250763628023	1.2168084594319688
0.0055	2.697342959360606	1.2338139149876393	2.68571206338028	1.2338139149876393
0.00575	2.6888788303372726	1.2502281369588584	2.6784059521467802	1.2502281369588584
0.006	2.6804850846402526	1.2660942648846059	2.6711064920024707	1.2660942648846059
0.00625	2.6721609131437063	1.2814506633671445	2.6638134323013385	1.2814506633671445
0.0065	2.6639055189867755	1.2963316214452822	2.6565265223697065	1.2963316214452822
0.00675	2.655718117399165	1.3107679263559981	2.649245511475688	1.3107679263559981
0.007	2.647597935383451	1.3247873380395923	2.6419701487432787	1.3247873380395923
0.00725	2.6395442115285697	1.3384149846060531	2.634700183112844	1.3384149846060531
0.0075	2.6315561958054317	1.3516736941811478	2.6274353632930825	1.3516736941811478
0.00775	2.6236331493752854	1.3645842751729995	2.6201754377154423	1.3645842751729995
0.008	2.6157743443501054	1.3771657543712141	2.6129201544683407	1.3771657543712141
0.00825	2.607979063561309	1.3894355803672584	2.6056692612319843	1.3894355803672584
0.0085	2.600246600416643	1.4014097982821967	2.598422505244869	1.4014097982821967
0.00875	2.5925762587058867	1.413103200536378	2.59117963324841	1.413103200536378
0.009	2.584967352392033	1.4245294575481195	2.5839403914240977	1.4245294575481195
0.00925	2.57741920541535	1.4357012315293476	2.5767045253330023	1.4357012315293476
0.0095	2.5699311514893126	1.4466302759564398	2.5694717798501565	1.4466302759564398
0.00975	2.562502534038404	1.4573275229088727	2.562241899151672	1.4573275229088727
0.01	2.555132705909171	1.4678031599007544	2.55501462661172	1.4678031599007544
0.01025	2.5478210291974133	1.4780666978118038	2.547789704742381	1.4780666978118038
0.0105	2.5405668751669013	1.4881270311440207	2.5405668751669013	1.4881270311440207
0.01075	2.5333696240605224	1.497992491563825	2.5333696240605224	1.497992491563825
0.011	2.526228664880395	1.507670895637331	2.526228664880395	1.507670895637331
0.01125	2.5191433952775157	1.5171695875585902	2.5191433952775157	1.5171695875585902
0.0115	2.512113221416821	1.5264954774533286	2.512113221416821	1.5264954774533286
0.01175	2.5051375578158033	1.5356550757990752	2.5051375578158033	1.5356550757990752
0.012	2.4982158271724266	1.5446545244343857	2.4982158271724266	1.5446545244343857
0.01225	2.4913474602205334	1.553499624572747	2.4913474602205334	1.553499624572747
0.0125	2.4845318956764366	1.5621958621943977	2.4845318956764366	1.5621958621943977
0.01275	2.4777685799790086	1.5707484309965332	2.4777685799790086	1.5707484309965332
0.013	2.471056967223497	1.5791622533236662	2.471056967223497	1.5791622533236662
0.01325	2.4643965190520967	1.5874419992117663	2.4643965190520967	1.5874419992117663
0.0135	2.457786704422172	1.5955921037120704	2.457786704422172	1.5955921037120704
0.01375	2.45122699962093	1.6036167828194134	2.45122699962093	1.6036167828194134
0.014	2.4447168880834202	1.6115200479791219	2.4447168880834202	1.6115200479791219
0.01425	2.4382558601679505	1.6193057193689953	2.4382558601679505	1.6193057193689953
0.0145	2.4318434131802347	1.6269774381960285	2.4318434131802347	1.6269774381960285
0.01475	2.42547905126631	1.6345386779585471	2.42547905126631	1.6345386779585471
0.015	2.4191622851497154	1.6419927547563817	2.4191622851497154	1.6419927547563817
0.01525	2.4128926321382558	1.6493428369077676	2.4128926321382558	1.6493428369077676
0.0155	2.4066696159977976	1.656591953782512	2.4066696159977976	1.656591953782512
0.01575	2.4004927668370963	1.6637430039757928	2.4004927668370963	1.6637430039757928
0.016	2.3943616209906162	1.670798762877862	2.3943616209906162	1.670798762877862
0.01625	2.388275720913787	1.677761889697632	2.388275720913787	1.677761889697632
0.0165	2.382234615091546	1.6846349339896034	2.382234615091546	1.6846349339896034
0.01675	2.3762378579713137	1.6914203417306337	2.3762378579713137	1.6914203417306337
0.017	2.3702850098303827	1.6981204609486913	2.3702850098303827	1.6981204609486913
0.01725	2.364375636626306	1.7047375469572539	2.364375636626306	1.7047375469572539
0.0175	2.358509310035413	1.7112737673150582	2.358509310035413	1.7112737673150582
0.01775	2.3526856072718574	1.717731206366849	2.3526856072718574	1.717731206366849
0.018	2.3469041109813586	1.7241118695152569	2.3469041109813586	1.7241118695152569
0.01825	2.3411644092383344	1.7304176872599533	2.3411644092383344	1.7304176872599533
0.0185	2.335466095367413	1.7366505189068873	2.335466095367413	1.7366505189068873
0.01875	2.329808767914828	1.7428121561049512	2.329808767914828	1.7428121561049512
0.019	2.3241920305734145	1.7489043261453383	2.3241920305734145	1.7489043261453383
0.01925	2.318615492038755	1.754928695028589	2.318615492038755	1.754928695028589
0.0195	2.3130787659938106	1.7608868704000122	2.3130787659938106	1.7608868704000122
0.01975	2.307581471019628	1.7667804042793407	2.307581471019628	1.7667804042793407
